"Year","Class","Name","Gender","Mark","Event","State"
"1997","5A","Shannin Heninger, Dwyer (Palm Beach Gardens), 2:14.92","Girls"," 2:14.92","800m","Florida"
"1997","4A","Mason Cathey, Bishop Kenny (Jacksonville), 02:18.3","Girls"," 02:18.3","800m","Florida"
"1997","3A","Kathleen Eagen, Ransom Everglades (Miami), 2:23.99","Girls"," 2:23.99","800m","Florida"
"1997","2A","Kamille Bratton, Bradenton Christian, 02:21.3","Girls"," 02:21.3","800m","Florida"
"1998","6A","Austin, Boyd Anderson (Lauderdale Lakes), 02:15.2","Girls"," 02:15.2","800m","Florida"
"1998","5A","Patricia Pearson, Wolfson (Jacksonville), 02:14.0","Girls"," 02:14.0","800m","Florida"
"1998","4A","Mason Cathey, Bishop Kenny (Jacksonville), 02:16.4","Girls"," 02:16.4","800m","Florida"
"1998","3A","Katie Ireland, Ransom Everglades (Miami), 02:19.8","Girls"," 02:19.8","800m","Florida"
"1998","2A","Kristina Bratton, Bradenton Christian, 02:12.7","Girls"," 02:12.7","800m","Florida"
"1999","6A","Vanessa Adams, Miami Central, 2:16.05","Girls"," 2:16.05","800m","Florida"
"1999","5A","Pat Pearson, Wolfson (Jacksonville), 2:14.48","Girls"," 2:14.48","800m","Florida"
"1999","4A","Mason Cathey, Bishop Kenny (Jacksonville), 02:13.2","Girls"," 02:13.2","800m","Florida"
"1999","3A","Lindsey Affolter, Winter Springs, 2:18.21","Girls"," 2:18.21","800m","Florida"
"1999","2A","Kristina Bratton, Bradenton Christian, 02:21.2","Girls"," 02:21.2","800m","Florida"
"2000","4A","Zullymarie Pascual, Miami Southridge, 02:11.6","Girls"," 02:11.6","800m","Florida"
"2000","3A","Kacey Countryman, Escambia (Pensacola), 02:16.7","Girls"," 02:16.7","800m","Florida"
"2000","2A","Dalia Clarke, Suncoast (Riviera Beach), 02:20.9","Girls"," 02:20.9","800m","Florida"
"2000","A","Zita Magloire, Chiles (Tallahassee), 2:20.52","Girls"," 2:20.52","800m","Florida"
"2001","4A","Andrea Austin, Boyd Anderson (Lauderdale Lakes), 2:10.45","Girls"," 2:10.45","800m","Florida"
"2001","3A","Kacey Countryman, Escambia (Pensacola), 02:13.3","Girls"," 02:13.3","800m","Florida"
"2001","2A","Alondra Cooper, Suncoast (Riviera Beach), 02:15.1","Girls"," 02:15.1","800m","Florida"
"2001","A","Zita Magloire, Chiles (Tallahassee), 2:19.48","Girls"," 2:19.48","800m","Florida"
"2002","4A","Lavera Morris, Oak Ridge (Orlando), 2:13.54","Girls"," 2:13.54","800m","Florida"
"2002","3A","Zita Magloire, Chiles (Tallahassee), 2:16.74","Girls"," 2:16.74","800m","Florida"
"2002","2A","Alondra Cooper, Suncoast (Riviera Beach), 02:15.7","Girls"," 02:15.7","800m","Florida"
"2002","A","Kyra Mobley, FAMU (Tallahassee), 2:20.57","Girls"," 2:20.57","800m","Florida"
"2003","4A","Lavera Morris, Oak Ridge (Orlando), 2:11.79","Girls"," 2:11.79","800m","Florida"
"2003","3A","Valeria Rodriguez, Lourdes (Miami), 2:15.83","Girls"," 2:15.83","800m","Florida"
"2003","2A","Alondra Cooper, Suncoast (Riviera Beach), 02:13.1","Girls"," 02:13.1","800m","Florida"
"2003","A","Danielle Bradley, King's Academy (West Palm Beach), 2:18.20","Girls"," 2:18.20","800m","Florida"
"2004","4A","Lavera Morris, Oak Ridge (Orlando), 2:09.90","Girls"," 2:09.90","800m","Florida"
"2004","3A","Valeria Rodriguez, Lourdes (Miami), 2:14.23","Girls"," 2:14.23","800m","Florida"
"2004","2A","Jacqueline Areson, Pope John Paul II (Boca Raton), 2:13.54","Girls"," 2:13.54","800m","Florida"
"2004","1A","Danielle Bradley, King's Academy (West Palm Beach), 2:15.72","Girls"," 2:15.72","800m","Florida"
"2005","4A","Jamia Hutto, Oak Ridge (Orlando), 2:16.76","Girls"," 2:16.76","800m","Florida"
"2005","3A","Jacqueline Areson, Atlantic (Delray Beach), 02:12.3","Girls"," 02:12.3","800m","Florida"
"2005","2A","Leela Hadsock, Hernando (Brooksville), 02:17.4","Girls"," 02:17.4","800m","Florida"
"2005","1A","Danielle Bradley, King's Academy (West Palm Beach), 2:13.08","Girls"," 2:13.08","800m","Florida"
"2006","4A","Christal Washington, South Broward (Hollywood), 2:12.99","Girls"," 2:12.99","800m","Florida"
"2006","3A","Jamia Hutto, Oak Ridge (Orlando), 2:14.22","Girls"," 2:14.22","800m","Florida"
"2006","2A","Kayla Conrad, Jensen Beach, 2:18.08","Girls"," 2:18.08","800m","Florida"
"2006","1A","Danielle Bradley, King's Academy (West Palm Beach), 2:15.19","Girls"," 2:15.19","800m","Florida"
"2007","4A","Christal Washington, South Broward (Hollywood), 2:10.90","Girls"," 2:10.90","800m","Florida"
"2007","3A","Lanie Whittaker, Washington (Miami), 02:15.7","Girls"," 02:15.7","800m","Florida"
"2007","2A","Kayla Conrad, Jensen Beach, 2:17.22","Girls"," 2:17.22","800m","Florida"
"2007","1A","Hillary Neal, King's Academy (West Palm Beach), 2:15.72","Girls"," 2:15.72","800m","Florida"
"2008","4A","Christal Washington, South Broward (Hollywood), 2:10.52","Girls"," 2:10.52","800m","Florida"
"2008","3A","Lanie Whittaker, Washington (Miami), 02:16.3","Girls"," 02:16.3","800m","Florida"
"2008","2A","Kayla Conrad, Jensen Beach, 2:17.83","Girls"," 2:17.83","800m","Florida"
"2008","1A","Mallory Bane, St. Johns Country Day (Orange Park), 2:20.85","Girls"," 2:20.85","800m","Florida"
"2009","4A","Skyler Wallen, Miami Northwestern, 2:09.44","Girls"," 2:09.44","800m","Florida"
"2009","3A","Darroneshia Lott, Pine Forest (Pensacola), 02:17.3","Girls"," 02:17.3","800m","Florida"
"2009","2A","Joane Pierre, Immokalee, 2:14.10","Girls"," 2:14.10","800m","Florida"
"2009","1A","Stefanie Kurgatt, Maclay (Tallahassee), 02:14.9","Girls"," 02:14.9","800m","Florida"
"2010","4A","Imani Sudlow, Boyd Anderson (Lauderdale Lakes), 2:11.84","Girls"," 2:11.84","800m","Florida"
"2010","3A","Darroneshia Lott, Pine Forest (Pensacola), 02:12.2","Girls"," 02:12.2","800m","Florida"
"2010","2A","Stephanie Schappert, Pope John Paul II (Boca Raton), 2:10.81","Girls"," 2:10.81","800m","Florida"
"2010","1A","Stefanie Kurgatt, Maclay (Tallahassee), 02:15.0","Girls"," 02:15.0","800m","Florida"
"2011","4A","Desmika White, Plantation, 2:13.07","Girls"," 2:13.07","800m","Florida"
"2011","3A","Darroneshia Lott, Pine Forest (Pensacola), 02:13.8","Girls"," 02:13.8","800m","Florida"
"2011","2A","Stephanie Schappert, Pope John Paul II (Boca Raton), 2:12.65","Girls"," 2:12.65","800m","Florida"
"2011","1A","Stefanie Kurgatt, Maclay (Tallahassee), 02:15.8","Girls"," 02:15.8","800m","Florida"
"2012","4A","Natalie Concepcion, Ferguson (Miami), 02:13.8","Girls"," 02:13.8","800m","Florida"
"2012","3A","Lily Williams, Chiles (Tallahassee), 2:12.45","Girls"," 2:12.45","800m","Florida"
"2012","2A","Daesha Rogers, American Heritage (Plantation), 2:12.75","Girls"," 2:12.75","800m","Florida"
"2012","1A","Stefanie Kurgatt, Maclay (Tallahassee), 02:10.5","Girls"," 02:10.5","800m","Florida"
"2013","4A","Michelle Howell, Seminole Ridge (Loxahatchee), 2:10.12","Girls"," 2:10.12","800m","Florida"
"2013","3A","Kristin Zarrella, Lakewood Ranch (Bradenton), 2:16.45","Girls"," 2:16.45","800m","Florida"
"2013","2A","Daesha Rogers, American Heritage (Plantation), 2:12.08","Girls"," 2:12.08","800m","Florida"
"2013","1A","Stefanie Kurgatt, Maclay (Tallahassee), 02:16.5","Girls"," 02:16.5","800m","Florida"
"2014","4A","Sinclaire Johnson, Lake Brantley (Altamonte Springs), 2:12.30","Girls"," 2:12.30","800m","Florida"
"2014","3A","Emily Harding, Sarasota, 2:15.12","Girls"," 2:15.12","800m","Florida"
"2014","2A","Caitlin Collier, Bolles (Jacksonville), 2:13.54","Girls"," 2:13.54","800m","Florida"
"2014","1A","Emily Stallings, Providence (Jacksonville), 02:17.7","Girls"," 02:17.7","800m","Florida"
"2015","4A","Grace Blair, Oak Hall (Gainesville), 2:18:70","Girls"," 2:18:70","800m","Florida"
"2015","3A","Daesha Rogers, Miami Northwestern, 2:11:84","Girls"," 2:11:84","800m","Florida"
"2015","2A","Caitlin Collier, Bolles (Jacksonville), 2:14:04","Girls"," 2:14:04","800m","Florida"
"2015","1A","Grace Blair, Oak Hall (Gainesville), 2:13:70","Girls"," 2:13:70","800m","Florida"
"2016","4A","Sinclaire Johnson,  Lake Brantley (Altamonte Springs), 2:09.10","Girls"," 2:09.10","800m","Florida"
"2016","3A","Jinah Mickens-Malik, Mater Academy (Hialeah Gardens), 2:13.80","Girls"," 2:13.80","800m","Florida"
"2016","2A","Caitlin Collier, Bolles (Jacksonville), 2:06.74","Girls"," 2:06.74","800m","Florida"
"2016","1A","Sierra Oliveira, Evangelical Christian (Fort Myers), 2:15.51","Girls"," 2:15.51","800m","Florida"
"2017","4A","Kayla Johnson, Miami Southridge, 2:10.39","Girls"," 2:10.39","800m","Florida"
"2017","3A","Kristlin Gear, Fort Myers, 2:10.29","Girls"," 2:10.29","800m","Florida"
"2017","2A","Caitlin Collier, Bolles (Jacksonville), 2:10.65","Girls"," 2:10.65","800m","Florida"
"2017","1A","Grace Blair, Oak Hall (Gainesville), 2:13.43","Girls"," 2:13.43","800m","Florida"
"2018","4A","Bailey Hertenstein, Newsome (Lithia), 02:13.2","Girls"," 02:13.2","800m","Florida"
"2018","3A","Jinah Mickens-Malik, Mater Academy (Hialeah Gardens), 2:11.26","Girls"," 2:11.26","800m","Florida"
"2018","2A","Caitlin Collier, Bolles (Jacksonville), 2:02.77","Girls"," 2:02.77","800m","Florida"
"2018","1A","Jessica Edwards, Canterbury (Fort Myers), 02:13.3","Girls"," 02:13.3","800m","Florida"
"2019","4A","Alicia Ruiz, George Jenkins (Lakeland), 02:11.3","Girls"," 02:11.3","800m","Florida"
"2019","3A","Jinah Mickens-Malik, Mater Academy (Hialeah Gardens), 2:10.80","Girls"," 2:10.80","800m","Florida"
"2019","2A","Natalie Varela, Gulliver Prep (Pinecrest), 02:09.8","Girls"," 02:09.8","800m","Florida"
"2019","1A","Jessica Edwards, Canterbury (Fort Myers), 02:08.4 Mary Bowman, Palm Beach Gardens, 05:13.8","Girls"," 05:13.8","1600m","Florida"
"1976","4A","Nancy McCormac, Choctawhatchee (Fort Walton Beach), 5:03.4","Girls"," 5:03.4","Mile","Florida"
"1976","3A","Betty Jo Springs, Bayshore (Bradenton), 05:12.0","Girls"," 05:12.0","Mile","Florida"
"1976","2A","Angela Johnson, Fort Meade, 5:40.0","Girls"," 5:40.0","Mile","Florida"
"1976","A","Emilie Cade, Oak Hall (Gainesville), 5:39.8","Girls"," 5:39.8","Mile","Florida"
"1977","4A","Kathy Moore, Southwest Miami, 4:56.1","Girls"," 4:56.1","Mile","Florida"
"1977","3A","Betty Jo Springs, Bayshore (Bradenton), 05:04.9","Girls"," 05:04.9","Mile","Florida"
"1977","2A","Carol Payne, Pensacola Catholic, 5:34.5","Girls"," 5:34.5","Mile","Florida"
"1977","A","Donna Campbell, Oak Hall (Gainesville), 05:13.6","Girls"," 05:13.6","Mile","Florida"
"1978","4A","Susan Overbey, McArthur (Hollywood), 04:50.8","Girls"," 04:50.8","Mile","Florida"
"1978","3A","Betty Jo Springs, Bayshore (Bradenton), 04:59.7","Girls"," 04:59.7","Mile","Florida"
"1978","2A","Maura Clark, Clearwater Central Catholic, 05:26.5","Girls"," 05:26.5","Mile","Florida"
"1978","A","Jean Messinese, Beaches Chapel (Neptune Beach), 5:24.7","Girls"," 5:24.7","Mile","Florida"
"1979","4A","Susan Overbey, McArthur (Hollywood), 04:58.2","Girls"," 04:58.2","Mile","Florida"
"1979","3A","Betty Jo Springs, Bayshore (Bradenton), 04:58.3","Girls"," 04:58.3","Mile","Florida"
"1979","2A","Tamara Reardean, Episcopal (Jacksonville), 05:20.0","Girls"," 05:20.0","Mile","Florida"
"1979","A","Donna Campbell, Oak Hall (Gainesville), 05:09.7","Girls"," 05:09.7","Mile","Florida"
"1980","4A","Lisa Beck, Clearwater, 4:51.35","Girls"," 4:51.35","Mile","Florida"
"1980","3A","Laura Shey, Buchholz (Gainesville), 5:03.5","Girls"," 5:03.5","Mile","Florida"
"1980","2A","Kingsley Belcher, Ransom Everglades (Miami), 5:15.83","Girls"," 5:15.83","Mile","Florida"
"1980","A","Shannon McNulty, Trinity Prep (Winter Park), 5:29.90","Girls"," 5:29.90","Mile","Florida"
"1981","4A","Loretta Simeon, Countryside (Clearwater), 04:57.9","Girls"," 04:57.9","Mile","Florida"
"1981","3A","Carla Dolder, Gainesville, 4:54.8","Girls"," 4:54.8","Mile","Florida"
"1981","2A","A Tonia Douglas, P.K. Yonge (Gainesville), 05:23.3","Girls"," 05:23.3","Mile","Florida"
"1981","A","A Jean Messinese, Beaches Chapel (Neptune Beach), 5:19.3","Girls"," 5:19.3","Mile","Florida"
"1982","4A","A Sharon Chiong, Miami Killian, 4:58.3","Girls"," 4:58.3","Mile","Florida"
"1982","3A","A Loretta Simeon, Tarpon Springs, 5:05.1","Girls"," 5:05.1","Mile","Florida"
"1982","2A","A Beth Adkins, Newberry, 5:08.7","Girls"," 5:08.7","Mile","Florida"
"1982","A","A Adrienne Politowicz, Trinity Prep (Winter Park), 5:28.7","Girls"," 5:28.7","Mile","Florida"
"1983","4A","A Lori Littell, Leto (Tampa), 5:03.2","Girls"," 5:03.2","Mile","Florida"
"1983","3A","A Karol Dorsett, St. Petersburg Catholic, 04:57.2","Girls"," 04:57.2","Mile","Florida"
"1983","2A","A Donna Combs, Episcopal (Jacksonville), 05:05.5","Girls"," 05:05.5","Mile","Florida"
"1983","A","A Adrienne Politowicz, Trinity Prep (Winter Park), 5:22.7","Girls"," 5:22.7","Mile","Florida"
"1984","4A","A Louise Schweitzer, West Orange (Winter Garden), 5:01.3","Girls"," 5:01.3","Mile","Florida"
"1984","3A","A Lisa McClain, Hollywood Hills, 5:06.1","Girls"," 5:06.1","Mile","Florida"
"1984","2A","A Donna Combs, Episcopal (Jacksonville), 04:55.5","Girls"," 04:55.5","Mile","Florida"
"1984","A","A Laura Isbell, Berkeley Prep (Tampa), 5:07.0","Girls"," 5:07.0","Mile","Florida"
"1985","4A","A Mylan Moffat, Largo, 5:03.4","Girls"," 5:03.4","Mile","Florida"
"1985","3A","A Teresa Garcia, St. Thomas Aquinas (Fort Lauderdale), 5:06.8","Girls"," 5:06.8","Mile","Florida"
"1985","2A","A Stacey Matschner, Cocoa Beach, 5:16.7","Girls"," 5:16.7","Mile","Florida"
"1985","A","A Laura Isbell, Berkeley Prep (Tampa), 5:12.5","Girls"," 5:12.5","Mile","Florida"
"1986","4A","A Mylan Moffat, Largo, 5:00.60","Girls"," 5:00.60","Mile","Florida"
"1986","3A","A Heather McGhee, Lakewood (St. Petersburg), 5:03.57","Girls"," 5:03.57","Mile","Florida"
"1986","2A","A Gina Derks, Gulliver Prep (Pinecrest), 5:20.5","Girls"," 5:20.5","Mile","Florida"
"1986","A","A Adrienne Politowicz, Trinity Prep (Winter Park), 5:01.14","Girls"," 5:01.14","Mile","Florida"
"1987","4A","A Gloria Morgan, South Plantation, 5:07.33","Girls"," 5:07.33","Mile","Florida"
"1987","3A","A Ellen Runice, Middleburg, 5:10.82","Girls"," 5:10.82","Mile","Florida"
"1987","2A","A Melanie Bloch, Pensacola Catholic, 4:57.9","Girls"," 4:57.9","Mile","Florida"
"1987","A","A Mara Kunitz, Dade Christian (Miami), 05:20.2","Girls"," 05:20.2","Mile","Florida"
"1988","4A","A Mylan Moffat, Largo, 5:08.90","Girls"," 5:08.90","Mile","Florida"
"1988","3A","A Shawnda Martin, Seminole (Sanford), 05:03.0","Girls"," 05:03.0","Mile","Florida"
"1988","2A","A Amy Lastinger, Episcopal (Jacksonville), 05:12.4","Girls"," 05:12.4","Mile","Florida"
"1988","A","A Mara Kunitz, Dade Christian (Miami), 5:26.6","Girls"," 5:26.6","Mile","Florida"
"1989","4A","A Tracy Howze, Orange Park, 5:08.2","Girls"," 5:08.2","Mile","Florida"
"1989","3A","A Cindy Wulf, Rockledge, 5:09.93","Girls"," 5:09.93","Mile","Florida"
"1989","2A","A Gina Derks, Gulliver Prep (Pinecrest), 05:06.6","Girls"," 05:06.6","Mile","Florida"
"1989","A","A Elana Eash, Bradenton Christian, 5:31.16","Girls"," 5:31.16","Mile","Florida"
"1990","4A","A Christi Masson, Miami Beach, 5:15.29","Girls"," 5:15.29","1600m","Florida"
"1990","3A","A Lisa Beck, Cardinal Newman (West Palm Beach), 5:14.06","Girls"," 5:14.06","1600m","Florida"
"1990","2A","A Gina Derks, Gulliver Prep (Pinecrest), 5:11.7","Girls"," 5:11.7","1600m","Florida"
"1990","A","A Julian Reynolds, Benjamin (North Palm Beach), 5:20.29","Girls"," 5:20.29","1600m","Florida"
"1991","4A","A Kathi Ward, Lincoln (Tallahassee), 5:03.60","Girls"," 5:03.60","1600m","Florida"
"1991","3A","A Laura Reback, Cardinal Newman (West Palm Beach), 5:12.2","Girls"," 5:12.2","1600m","Florida"
"1991","2A","A Elana Eash, Palmetto, 5:08.2","Girls"," 5:08.2","1600m","Florida"
"1991","A","A Julian Reynolds, Benjamin (North Palm Beach), 5:21.9","Girls"," 5:21.9","1600m","Florida"
"1992","4A","A Kathi Ward, Lincoln (Tallahassee), 4:55.72","Girls"," 4:55.72","1600m","Florida"
"1992","3A","A Kimberly Roberson, Fort Pierce Westwood, 05:11.4","Girls"," 05:11.4","1600m","Florida"
"1992","2A","A Laura Reback, Cardinal Newman (West Palm Beach), 5:19.73","Girls"," 5:19.73","1600m","Florida"
"1992","A","A Julian Reynolds, Benjamin (North Palm Beach), 5:17.84","Girls"," 5:17.84","1600m","Florida"
"1993","4A","A Elizabeth Lopacki, Manatee (Bradenton), 05:09.6","Girls"," 05:09.6","1600m","Florida"
"1993","3A","A Courtney Schreiver, Cardinal Gibbons (Fort Lauderdale), 5:14.40","Girls"," 5:14.40","1600m","Florida"
"1993","2A","A Maria Zajvaldova, South Sumter (Bushnell), 05:22.1","Girls"," 05:22.1","1600m","Florida"
"1993","A","A Julian Reynolds, Benjamin (North Palm Beach), 5:14.85","Girls"," 5:14.85","1600m","Florida"
"1994","5A","A Ramona Saradakis, John I. Leonard (Greenacres), 5:06.65","Girls"," 5:06.65","1600m","Florida"
"1994","4A","A Shockey, Charlotte (Punta Gorda), 5:14.10","Girls"," 5:14.10","1600m","Florida"
"1994","3A","Annice Williams, Bradford (Starke), 5:18.39","Girls"," 5:18.39","1600m","Florida"
"1994","2A","Diane Blythe, Ransom Everglades (Miami), 05:26.8","Girls"," 05:26.8","1600m","Florida"
"1994","A","Julian Reynolds, Benjamin (North Palm Beach), 5:04.48","Girls"," 5:04.48","1600m","Florida"
"1995","6A","Amy Zientara, Manatee (Bradenton), 05:10.0","Girls"," 05:10.0","1600m","Florida"
"1995","5A","Caroline Annis, Plant (Tampa), 5:13.63","Girls"," 5:13.63","1600m","Florida"
"1995","4A","Annice Williams, Bradford (Starke), 5:11.26","Girls"," 5:11.26","1600m","Florida"
"1995","3A","Ramona Saradakis, Cardinal Newman (West Palm Beach), 5:01.15","Girls"," 5:01.15","1600m","Florida"
"1995","2A","Brianne Harrington, Northside Christian (St. Petersburg), 5:18.20","Girls"," 5:18.20","1600m","Florida"
"1996","6A","Ann McRanahan, Pensacola, 5:05.05","Girls"," 5:05.05","1600m","Florida"
"1996","5A","Megan Gibson, Barron Collier (Naples), 05:03.5","Girls"," 05:03.5","1600m","Florida"
"1996","4A","Annice Williams, Bradford (Starke), 5:08.83","Girls"," 5:08.83","1600m","Florida"
"1996","3A","Ramona Saradakis, Cardinal Newman (West Palm Beach), 5:05.97","Girls"," 5:05.97","1600m","Florida"
"1996","2A","Brianne Harrington, Northside Christian (St. Petersburg), 5:16.70","Girls"," 5:16.70","1600m","Florida"
"1997","6A","Sara Darling, Spanish River (Boca Raton), 05:09.4","Girls"," 05:09.4","1600m","Florida"
"1997","5A","Erin Merton, Stanton Prep (Jacksonville), 04:59.7","Girls"," 04:59.7","1600m","Florida"
"1997","4A","Marisa Kenyon, Bishop Kenny (Jacksonville), 5:13.80","Girls"," 5:13.80","1600m","Florida"
"1997","3A","Lynley Roberts, Cardinal Newman (West Palm Beach), 5:25.91","Girls"," 5:25.91","1600m","Florida"
"1997","2A","Brianne Harrington, Northside Christian (St. Petersburg), 5:19.47","Girls"," 5:19.47","1600m","Florida"
"1998","6A","Sara Darling, Spanish River (Boca Raton), 05:04.1","Girls"," 05:04.1","1600m","Florida"
"1998","5A","Caroline Annis, Plant (Tampa), 4:59.16","Girls"," 4:59.16","1600m","Florida"
"1998","4A","Hillary White, Eastside (Gainesville), 5:00.29","Girls"," 5:00.29","1600m","Florida"
"1998","3A","Katie Ireland, Ransom Everglades (Miami), 05:14.7","Girls"," 05:14.7","1600m","Florida"
"1998","2A","Kamille Bratton, Bradenton Christian, 5:11.0","Girls"," 5:11.0","1600m","Florida"
"1999","6A","Melissa Perlman, Spanish River (Boca Raton), 5:07.20","Girls"," 5:07.20","1600m","Florida"
"1999","5A","Linda McLaughlin, Estero, 5:03.51","Girls"," 5:03.51","1600m","Florida"
"1999","4A","Cathy Mason, Bishop Kenny (Jacksonville), 05:09.1","Girls"," 05:09.1","1600m","Florida"
"1999","3A","Karina Swetie, Pine Crest (Fort Lauderdale), 05:15.8","Girls"," 05:15.8","1600m","Florida"
"1999","2A","Kamille Bratton, Bradenton Christian, 05:19.2","Girls"," 05:19.2","1600m","Florida"
"2000","4A","Hilary White, Buchholz (Gainesville), 4:54.65","Girls"," 4:54.65","1600m","Florida"
"2000","3A","Linda McGlaughlin, Estero, 4:58.87","Girls"," 4:58.87","1600m","Florida"
"2000","2A","Lindey Minnihan, Astronaut (Titusville), 05:18.1","Girls"," 05:18.1","1600m","Florida"
"2000","A","Zita Magloire, Chiles (Tallahassee), 5:13.39","Girls"," 5:13.39","1600m","Florida"
"2001","4A","Andrea Austin, Boyd Anderson (Lauderdale Lakes), 4:58.41","Girls"," 4:58.41","1600m","Florida"
"2001","3A","Raynell Hagberg, South Fork (Stuart), 05:05.4","Girls"," 05:05.4","1600m","Florida"
"2001","2A","Kara Scanlin, Episcopal (Jacksonville), 05:07.6","Girls"," 05:07.6","1600m","Florida"
"2001","A","Kara Newell, Maclay (Tallahassee), 5:06.62","Girls"," 5:06.62","1600m","Florida"
"2002","4A","Angela Pichardo, Stranahan (Fort Lauderdale), 5:01.89","Girls"," 5:01.89","1600m","Florida"
"2002","3A","Courtney Hall, Bishop Kenny (Jacksonville), 05:03.9","Girls"," 05:03.9","1600m","Florida"
"2002","2A","Kara Scanlin, Episcopal (Jacksonville), 05:00.5","Girls"," 05:00.5","1600m","Florida"
"2002","A","Lara DelRio, Carrollton (Miami), 5:17.42","Girls"," 5:17.42","1600m","Florida"
"2003","4A","Jennifer Barringer, Oviedo, 5:00.38","Girls"," 5:00.38","1600m","Florida"
"2003","3A","Courtney Hall, Bishop Kenny (Jacksonville), 05:00.0","Girls"," 05:00.0","1600m","Florida"
"2003","2A","Nicole Schappert, Pope John Paul (Boca Raton), 5:05.48","Girls"," 5:05.48","1600m","Florida"
"2003","A","Hailey Mercer, King's Academy (West Palm Beach), 5:06.86","Girls"," 5:06.86","1600m","Florida"
"2004","4A","Jennifer Barringer, Oviedo, 4:48.90","Girls"," 4:48.90","1600m","Florida"
"2004","3A","Kelly Parrish, Vanguard (Ocala), 5:05.90","Girls"," 5:05.90","1600m","Florida"
"2004","2A","Nicole Schappert, Pope John Paul (Boca Raton), 4:57.61","Girls"," 4:57.61","1600m","Florida"
"2004","1A","Stevie Uribe, Oak Hall (Gainesville), 5:12.07","Girls"," 5:12.07","1600m","Florida"
"2005","4A","Jennifer Barringer, Oviedo, 4:54.29","Girls"," 4:54.29","1600m","Florida"
"2005","3A","Kelly Parrish, Vanguard (Ocala), 5:01.34","Girls"," 5:01.34","1600m","Florida"
"2005","2A","Nicole Schappert, Pope John Paul II (Boca Raton), 5:01.93","Girls"," 5:01.93","1600m","Florida"
"2005","1A","Hailey Mercer, King's Academy (West Palm Beach), 5:11.29","Girls"," 5:11.29","1600m","Florida"
"2006","4A","Jackie Areson, Atlantic (Delray Beach), 04:55.7","Girls"," 04:55.7","1600m","Florida"
"2006","3A","Jamia Hutto, Oak Ridge (Orlando), 4:56.96","Girls"," 4:56.96","1600m","Florida"
"2006","2A","Margaret Traylor, Episcopal (Jacksonville), 05:06.8","Girls"," 05:06.8","1600m","Florida"
"2006","1A","Hailey Neal, King's Academy (West Palm Beach), 5:03.87","Girls"," 5:03.87","1600m","Florida"
"2007","4A","Emilie Amaro, Cypress Bay (Weston), 04:55.8","Girls"," 04:55.8","1600m","Florida"
"2007","3A","Kaitlin Shiver, Satellite (Satellite Beach), 05:04.4","Girls"," 05:04.4","1600m","Florida"
"2007","2A","Laura Steel, Episcopal (Jacksonville), 05:10.8","Girls"," 05:10.8","1600m","Florida"
"2007","1A","Hillary Neal, King's Academy (West Palm Beach), 4:57.16","Girls"," 4:57.16","1600m","Florida"
"2008","4A","Brittany Koziara, Boone (Orlando), 4:52.64","Girls"," 4:52.64","1600m","Florida"
"2008","3A","Ashley Shiver, Satellite (Satellite Beach), 04:59.0","Girls"," 04:59.0","1600m","Florida"
"2008","2A","Joan Pierre, Immokalee, 5:02.79","Girls"," 5:02.79","1600m","Florida"
"2008","1A","Kayla Hale, Holy Trinity (Melbourne), 05:03.7","Girls"," 05:03.7","1600m","Florida"
"2009","4A","Shelby Hayes, Winter Park, 4:55.11","Girls"," 4:55.11","1600m","Florida"
"2009","3A","Ashley Shiver, Satellite, 4:56.91","Girls"," 4:56.91","1600m","Florida"
"2009","2A","Joane Pierre, Immokalee, 4:56.36","Girls"," 4:56.36","1600m","Florida"
"2009","1A","Kayla Hale, Holy Trinity (Melbourne), 05:02.6","Girls"," 05:02.6","1600m","Florida"
"2010","4A","Shelby Hayes, Winter Park, 4:58.12","Girls"," 4:58.12","1600m","Florida"
"2010","3A","Lily Williams, Chiles (Tallahassee), 4:58.56","Girls"," 4:58.56","1600m","Florida"
"2010","2A","Stephanie Schappert, Pope John Paul II (Boca Raton), 4:51.41","Girls"," 4:51.41","1600m","Florida"
"2010","1A","Kathryn Fluehr, Community School (Naples), 04:53.8","Girls"," 04:53.8","1600m","Florida"
"2011","4A","Bridget Blake, Dr. Phillips (Orlando), 4:59.48","Girls"," 4:59.48","1600m","Florida"
"2011","3A","Lily Williams, Chiles (Tallahassee), 4:56.20","Girls"," 4:56.20","1600m","Florida"
"2011","2A","Stephanie Schappert, Pope John Paul II (Boca Raton), 4:54.98","Girls"," 4:54.98","1600m","Florida"
"2011","1A","Julie Wollrath, Holy Trinity (Melbourne), 04:58.2","Girls"," 04:58.2","1600m","Florida"
"2012","4A","Bridget Blake, Dr. Phillips (Orlando), 4:58.55","Girls"," 4:58.55","1600m","Florida"
"2012","3A","Lily Williams, Chiles (Tallahassee), 4:53.60","Girls"," 4:53.60","1600m","Florida"
"2012","2A","Daesha Rogers, American Heritage (Plantation), 4:54.03","Girls"," 4:54.03","1600m","Florida"
"2012","1A","Stefanie Kurgatt, Maclay (Tallahassee), 04:57.3","Girls"," 04:57.3","1600m","Florida"
"2013","4A","Bridget Blake, Dr. Phillips (Orlando), 5:00.51","Girls"," 5:00.51","1600m","Florida"
"2013","3A","Emily Edwards, Fort Myers, 5:00.60","Girls"," 5:00.60","1600m","Florida"
